label,count
AgInt no REsp,3423
AgInt no AREsp,2937
AgInt nos EDcl no REsp,456
EDcl no AgInt no AREsp,336
AgInt no RMS,331
REsp,322
AgInt nos EDcl no AREsp,313
EDcl no AgInt no REsp,274
AgInt no AgInt no AREsp,197
AgInt no AgInt no REsp,126
AREsp,95
RMS,88
EDcl no AgInt nos EDcl no REsp,59
EDcl nos EDcl no AgInt no AREsp,55
AgInt nos EDcl no RMS,44
EDcl no REsp,42
EDcl no AgInt nos EDcl no AREsp,38
EDcl nos EDcl no AgInt no REsp,31
EDcl no AREsp,24
AgInt nos EDcl no AgInt no REsp,21
AgInt nos EDcl no AgInt no AREsp,20
AgInt no TP,18
AgInt no AgInt nos EDcl no REsp,15
AgInt nos EDcl nos EDcl no AREsp,14
EDcl no AgInt no AgInt no AREsp,14
AgInt no AgInt nos EDcl no AREsp,14
EDcl nos EDcl nos EDcl no AgInt no AREsp,13
AgInt nos EDcl nos EDcl no REsp,13
AgInt na PET no AREsp,11
EDcl no AgInt no RMS,9
PET no AREsp,9
AgRg no REsp,8
PET no REsp,8
AgInt no HC,8
EDcl no AgInt no AgInt no REsp,8
AgInt na Pet,8
AgInt no AgInt no AgInt no AREsp,8
EDcl no RMS,7
AgInt no AgInt no AgInt no REsp,7
AgInt na TutCautAnt,7
AgInt no PDist no REsp,6
EDcl nos EDcl no AgInt nos EDcl no REsp,6
EDcl nos EDcl no REsp,6
RCD no AREsp,6
AgInt no AgInt no RMS,6
RCD no REsp,6
AgRg no Ag,5
RCD no AgInt no AREsp,5
AgInt nos EDcl no AgInt nos EDcl no REsp,5
AgInt nos EDcl na PET no REsp,5
AgInt no PDist no AREsp,5
EDcl no AgRg no REsp,4
EDcl nos EDcl nos EDcl no AgInt no REsp,4
AgRg no AREsp,4
AgInt nos EDcl na PET no AREsp,4
AgInt na TutAntAnt,4
PET no AgInt no AREsp,3
EDcl nos EDcl no AgInt no RMS,3
AgInt na TutPrv no REsp,3
AgInt nos EDcl nos EDcl no AgInt no REsp,3
AgInt no Ag,3
DESIS no REsp,3
AgInt na TutPrv no AREsp,3
RCD no AgInt no REsp,2
AgInt na PET no REsp,2
AgRg no RMS,2
AgInt no AgRg no REsp,2
EDcl no AgRg no AREsp,2
PET nos EDcl no AgInt no AREsp,2
AgInt nos EDcl no AgInt nos EDcl no AREsp,2
EDcl no AgInt nos EDcl nos EDcl no REsp,2
EDcl nos EDcl no AgInt no AgInt no AREsp,2
EDcl no AgInt nos EDcl no AgInt no AREsp,2
AgInt nos EDcl na PET no AgInt no AREsp,1
RCD nos EDcl nos EDcl nos EDcl no AgInt no REsp,1
AgInt nos EDcl no TP,1
EDcl nos EDcl no AgInt na PET no AREsp,1
EDcl nos EDcl no AgInt no AgInt nos EDcl no AREsp,1
AgInt no AgInt no TP,1
PET nos EDcl no AgInt no AgInt no AREsp,1
RCD nos EDcl nos EDcl no AgInt no REsp,1
EDcl nos EDcl no AgInt nos EDcl no AREsp,1
EDcl nos EDcl nos EDcl no RMS,1
AgInt na TutPrv no AgInt no AREsp,1
EDcl no AgInt na PET no AREsp,1
AgInt no AgInt no AgInt nos EDcl no AREsp,1
RCD nos EDcl no AREsp,1
EDcl no AgRg no Ag,1
EDcl nos EDcl no AREsp,1
AgInt nos EDcl na TutPrv no REsp,1
DESIS nos EDcl no AgInt no REsp,1
DESIS no AgInt no AREsp,1
AgInt no RO,1
EDcl nos EDcl no AgRg no REsp,1
AgRg no AgRg no REsp,1
EDcl no AgInt nos EDcl nos EDcl no AREsp,1
PET no AgInt nos EDcl no AREsp,1
EDcl no AgInt nos EDcl nos EDcl nos EDcl no REsp,1
AgInt no IAC no AREsp,1
AgInt na MC,1
AgInt na DESIS no AREsp,1
EDcl nos EDcl nos EDcl no AgRg no REsp,1
AgRg no AgRg no AREsp,1
EDcl nos EDcl nos EDcl no AgInt no AgInt no REsp,1
AgInt nos EDcl no RtPaut no AgInt no REsp,1
PET no AgInt no REsp,1
AgInt nos EDcl nos EDcl nos EDcl no REsp,1
EDcl no AgInt nos EDcl no AgInt no REsp,1
EDcl nos EDcl nos EDcl no AgInt nos EDcl no AREsp,1
RCD na PET no AREsp,1
AgInt no RCD nos EDcl no AgInt no RMS,1
AgInt no RCD no REsp,1
EDcl nos EDcl no AgInt nos EDcl no RMS,1
DESIS nos EDcl nos EDcl no AgInt no REsp,1
AgInt no Ag no REsp,1
AgInt na PET na Pet,1
EDcl na PET no AREsp,1
PDist no AgInt nos EDcl no AREsp,1
AgInt nos EDcl no AgInt no RMS,1
AgInt nos EDcl na TutPrv no AREsp,1
AgInt na PET na PET no REsp,1
AgInt nos EDcl no AgInt no AgInt nos EDcl no AgInt no AREsp,1
RCD nos EDcl no AgInt no REsp,1
EDcl no AgInt nos EDcl no AgInt nos EDcl no AREsp,1
AgInt nos EDcl na Pet,1
EDcl nos EDcl no AgInt no AgInt nos EDcl no REsp,1
RCD na PET no REsp,1
AgInt nos EDcl na TutCautAnt,1
Acordo no AREsp,1
AgInt no PDist nos EDcl no REsp,1
EDcl nos EDcl nos EDcl no AgInt nos EDcl no REsp,1
AgInt no AgRg no Ag,1
AgInt no AgInt na TutCautAnt,1
AgInt nos EDcl nos EDcl no AgInt nos EDcl no REsp,1
AgInt no RtPaut no Ag,1
DESIS no AREsp,1
AgInt no AgInt nos EDcl nos EDcl no REsp,1
DESIS nos EDcl no AgInt no AREsp,1
AgInt nos EDcl no AgRg no REsp,1
AgRg nos EDcl nos EDcl no REsp,1
EDcl no AgInt no PDist no REsp,1
AgInt nos EDcl no HC,1
AgInt no RtPaut no AgInt no REsp,1
AgInt nos EDcl no AgInt no AgInt no AREsp,1
DESIS nos EDcl nos EDcl no AgInt no AREsp,1
EDcl no AgInt nos EDcl nos EDcl no AgInt no AREsp,1
EDcl no AgInt no PDist no AREsp,1
EDcl nos EDcl nos EDcl nos EDcl no AgInt no AREsp,1
EDcl nos EDcl no RMS,1
